Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,Event_15,Event_16,Event_17,Event_18,Event_19,Event_20,Event_21,Event_22,Event_23,Event_24,Event_25,Event_26,Event_27,Event_28,Event_29,Event_30,Event_31,Event_32,Event_33,Event_34,Event_35,Event_36,Event_37,Event_38,Event_39,Event_40,Event_41,Event_42,Event_43,Event_44,Event_45,Event_46,Event_47,Event_48,Event_49,Event_50,Event_51,Event_52,Event_53,Event_54,Event_55,Event_56,Event_57,Event_58,Event_59,Event_60,Event_61,Event_62,Event_63,Event_64,Event_65,Event_66,Event_67,Event_68,Event_69,Event_70,Event_71,Event_72,Event_73,Event_74,Event_75,Event_76,Event_77,Event_78,Event_79,Event_80,Event_81,Event_82,Event_83,Event_84,Event_85,Event_86,Event_87,Event_88,Event_89,Event_90,Event_91,Event_92,Event_93,Event_94,Event_95,Event_96,Event_97,Event_98,Event_99,Event_100
9,2,3,0,0,0,3,2,0,0,1,1,1,1,2,2,1,0,4,2,1,2,1,1,6,0,0,1,2,1,0,1,2,0,4,1,2,0,1,3,0,4,2,0,0,1,2,2,0,1,5,4,0,1,2,1,0,0,2,2,3,1,0,2,2,0,2,2,2,2,2,0,2,1,1,3,1,2,3,1,3,3,2,0,2,0,1,0,3,1,2,3,1,2,4,1,1,0,1,4
9,1,5,2,0,3,0,2,4,1,5,5,1,1,2,1,0,2,2,1,0,2,3,1,1,0,4,0,1,2,4,1,1,0,0,0,3,2,1,2,2,2,0,1,3,2,4,0,0,0,0,1,2,2,5,0,4,3,3,3,2,1,3,2,1,3,1,2,1,0,2,0,1,2,0,2,4,0,2,1,1,1,0,0,4,2,1,1,3,3,2,2,3,1,0,1,1,4,2,5
1,0,2,0,3,2,3,1,8,1,2,2,0,3,4,0,0,3,0,0,1,1,2,2,2,2,2,1,1,0,0,0,0,1,2,1,0,0,0,1,0,0,1,1,1,2,2,2,0,0,1,2,1,1,3,2,1,0,1,1,4,0,3,0,1,2,2,0,0,1,0,1,1,1,1,4,0,3,1,0,1,1,0,1,1,2,1,0,3,3,1,3,2,0,3,1,0,0,3,3
2,0,1,2,1,1,2,2,0,4,0,1,1,3,1,1,2,1,3,1,0,2,2,2,0,5,0,2,4,2,4,0,2,1,2,2,1,0,0,1,2,1,1,1,1,3,1,1,0,0,2,2,1,1,0,3,2,0,2,0,1,0,0,1,1,0,1,3,0,2,0,0,0,0,2,2,2,2,1,2,4,0,1,1,0,3,1,1,1,3,0,0,4,0,2,1,0,1,1,1
2,1,2,2,2,0,1,0,2,1,0,3,1,2,1,0,1,2,4,2,1,2,2,2,1,6,1,1,0,0,2,0,1,2,2,0,1,5,2,4,2,0,1,1,0,0,2,1,2,3,1,2,2,1,0,0,2,4,2,0,1,1,2,2,5,0,1,1,1,0,1,2,2,2,6,3,0,2,1,2,3,1,2,3,3,2,2,1,0,1,1,4,1,0,1,3,2,0,2,0
6,0,2,1,2,2,3,0,0,2,2,5,0,0,3,0,0,2,1,1,2,0,0,1,1,3,1,2,2,1,1,0,1,0,1,3,0,0,2,1,4,2,3,3,0,1,1,2,3,1,3,1,0,1,3,1,1,2,4,1,1,3,2,2,2,2,1,0,2,1,1,2,0,0,1,2,2,0,0,3,3,0,1,2,0,2,1,0,2,4,2,0,1,0,2,3,4,3,3,2
0,0,0,2,4,3,4,1,1,1,2,1,1,0,3,2,1,1,2,5,0,0,2,1,2,1,1,2,2,1,0,1,2,1,3,0,5,0,2,2,1,3,2,0,2,0,0,2,1,3,2,3,0,2,0,0,1,1,1,1,1,3,1,4,1,2,1,1,2,3,1,4,1,1,3,1,1,2,1,3,2,1,4,2,1,3,1,4,0,1,0,1,0,0,3,1,1,1,2,0
0,4,2,1,2,0,0,1,1,4,2,0,2,1,3,1,0,1,0,1,0,2,2,2,0,1,2,1,5,2,1,3,3,1,3,0,1,0,0,3,2,0,0,0,2,0,0,2,2,0,3,0,3,3,1,2,1,3,0,0,2,4,3,2,3,0,0,2,3,2,3,1,1,1,1,2,3,2,0,1,1,2,0,3,3,1,1,1,1,2,0,2,3,2,0,2,2,0,1,0
3,0,0,5,2,2,2,1,0,0,2,2,3,2,0,0,2,2,1,3,0,1,2,1,2,1,0,1,1,2,4,1,2,1,3,1,0,1,3,2,2,1,0,4,2,2,0,1,1,2,0,3,3,0,3,0,2,2,1,4,2,2,2,1,0,0,2,2,4,3,2,0,2,1,1,4,2,1,2,2,1,1,3,4,1,1,0,1,2,2,0,0,1,5,3,1,2,1,1,2
0,0,3,1,2,2,0,2,1,1,1,1,0,5,0,1,0,4,2,0,5,1,2,3,2,1,1,4,1,1,1,0,2,1,1,0,1,0,0,0,0,2,1,2,1,1,4,1,1,3,3,1,1,2,1,1,2,0,3,1,0,5,1,1,0,1,2,0,1,4,1,2,4,1,1,2,0,1,2,0,2,0,1,2,0,3,1,2,0,0,1,0,2,1,3,4,1,1,3,1
